issue_date,pet_name,species,breed
2015-12-18,Zen,Cat,Domestic Longhair
2016-06-14,Misty,Cat,Siberian
2016-08-04,Lyra,Cat,Mix
2019-08-10,Spider,Cat,LaPerm
2020-11-20,Gemma,Cat,Siamese
2021-02-03,Emme,Cat,Domestic Shorthair
2021-04-07,Rudy,Cat,Domestic Shorthair
2021-04-09,Custo,Cat,Domestic Shorthair
2021-04-28,Cece,Cat,American Shorthair
2021-05-07,Taffy,Cat,Siamese
2021-05-28,Seamus,Cat,Domestic Shorthair
2021-07-19,Pippin,Cat,Persian
2021-07-23,Milo,Cat,LaPerm
2021-07-23,Luna Lovegood,Cat,Domestic Longhair
2021-08-03,Eugene,Cat,Domestic Shorthair
2021-08-19,Mouse,Cat,Domestic Shorthair
2021-09-21,Koa,Cat,Burmese
2021-09-25,Theodore,Cat,Domestic Shorthair
2021-10-21,Cody,Cat,American Shorthair
2021-10-25,Binu,Cat,Domestic Shorthair
2021-10-28,Mudflap,Cat,Domestic Longhair
2021-10-31,Roushe,Cat,Domestic Shorthair
2021-11-10,Tom,Cat,Domestic Shorthair
2021-11-15,Precious,Cat,Persian
2021-11-26,Louie,Cat,Domestic Shorthair
2021-11-26,Lyra,Cat,Domestic Shorthair
2021-12-06,Zora,Cat,Ragdoll
2021-12-18,Yuki,Cat,Domestic Shorthair
2022-02-10,Edgar,Cat,Domestic Shorthair
2022-02-10,Emily,Cat,Domestic Shorthair
2022-03-06,Turnip Smith,Cat,Maine Coon
2022-03-11,Mink,Cat,Domestic Longhair
2022-03-19,Taro,Cat,Domestic Shorthair
2022-03-31,Wilbur,Cat,Domestic Longhair
2022-04-17,Bala,Cat,Mix
2022-04-29,Sherlock,Cat,Domestic Medium Hair
2022-04-29,Lily,Cat,Siamese
2022-04-29,Luna,Cat,Domestic Medium Hair
2022-04-29,Oslo,Cat,American Shorthair
2022-04-29,Symmetry,Cat,Domestic Shorthair
2022-06-03,Bunny,Cat,Domestic Shorthair
2022-06-19,Typhoon,Cat,Mix
2022-06-21,Cleo,Cat,Maine Coon
2022-06-21,Tigger,Cat,Maine Coon
2022-07-16,Boris,Cat,Siamese
2022-07-16,Charlie,Cat,Domestic Shorthair
2022-07-30,Diego,Cat,Domestic Shorthair
2022-08-21,Huckleberry,Cat,Domestic Shorthair
2022-08-23,Mila,Cat,Russian Blue
2022-08-24,Shadow,Cat,Siberian
2022-09-03,JoJo3,Cat,Domestic Shorthair
2022-09-05,Minerva,Cat,Domestic Shorthair
2022-09-09,MCCat,Cat,Domestic Shorthair
2022-09-25,Nova,Cat,Bengal
2022-09-29,Chirp,Cat,Domestic Shorthair
2022-10-05,Finn,Cat,Domestic Shorthair
2022-10-18,Nita,Cat,Mix
2022-11-02,Pai Mai Pazuzu,Cat,Domestic Medium Hair
2022-11-08,Luci-Fur,Cat,Domestic Shorthair
2022-11-08,Ember,Cat,Domestic Shorthair
2022-12-05,Tigger,Cat,Maine Coon
2022-12-05,Al Capone,Cat,American Shorthair
2022-12-12,Garbanzo,Cat,Domestic Shorthair
2022-12-14,Mia,Cat,Domestic Longhair
2022-12-19,Matcha,Cat,Domestic Shorthair
2022-12-21,Katya,Cat,Bombay
2022-12-24,BattleCat,Cat,American Shorthair
2022-12-24,Daniel Tiger,Cat,Domestic Shorthair
2022-12-24,Jonesy,Cat,Domestic Shorthair
2022-12-26,Tanuki,Cat,Persian
2022-12-27,Domino,Cat,Domestic Medium Hair
2022-12-29,Luna,Cat,Domestic Shorthair
2023-01-02,Xiomara,Cat,Domestic Longhair
2023-01-02,Riley,Cat,Domestic Longhair
2023-01-02,Sabbath,Cat,Domestic Shorthair
2023-01-02,Alex,Cat,Domestic Shorthair
2023-01-02,Rowan,Cat,Domestic Shorthair
2023-01-02,Sumi,Cat,Domestic Shorthair
2023-01-02,Yoru,Cat,Domestic Shorthair
2023-01-03,Mowgli,Cat,Bengal
2023-01-03,Princess Leia,Cat,Domestic Medium Hair
2023-01-03,Mikey,Cat,Domestic Shorthair
2023-01-04,,Cat,Domestic Shorthair
2023-01-04,,Cat,Domestic Longhair
2023-01-04,Jasper,Cat,Domestic Shorthair
2023-01-04,Bear,Cat,Domestic Shorthair
2023-01-05,Tallia,Cat,Domestic Shorthair
2023-01-05,Atlas,Cat,Domestic Shorthair
2023-01-06,Marshall,Cat,Domestic Shorthair
2023-01-06,Fridacita,Cat,Domestic Shorthair
2023-01-06,Stormy,Cat,Domestic Shorthair
2023-01-06,Bean,Cat,Domestic Shorthair
2023-01-06,Amber,Cat,Domestic Shorthair
2023-01-07,Crookshanks,Cat,Russian Blue
2023-01-07,HariBoo,Cat,Domestic Shorthair
2023-01-07,Charlie,Cat,Domestic Medium Hair
2023-01-07,Elena,Cat,Domestic Shorthair
2023-01-07,Basil,Cat,Domestic Medium Hair
